"term","estimate","std.error","statistic","p.value"
"`Age recode with <1 year olds and 90+`30-39 years",0.0387449741154914,0.132436124490811,0.292555934149068,0.769861600122073
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Non-Hispanic Black",0.365109135839422,0.152642091480666,2.3919295935857,0.0167600571130898
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Non-Hispanic Asian or Pacific Islander",-0.0329661209984724,0.134716032267398,-0.244708223985084,0.806682359798881
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Non-Hispanic American Indian/Alaska Native",-0.373117700660071,0.750067017487381,-0.497445817455036,0.618874702618672
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Non-Hispanic Unknown Race",-15.2241915891472,1111.02151094567,-0.0137028774323089,0.989067027804527
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Hispanic (All Races)",0.181631354673864,0.105126245202855,1.7277450966063,0.0840339345794047
"`Grade Recode (thru 2017)`Moderately differentiated; Grade II",0.379323174786175,0.254911146437699,1.48806036961151,0.136734973609888
"`Grade Recode (thru 2017)`Poorly differentiated; Grade III",0.684673987027578,0.254407373078416,2.69125056692654,0.00711847076649181
"`Grade Recode (thru 2017)`Undifferentiated; anaplastic; Grade IV",-0.0985697911223973,1.04146938785554,-0.0946449240580753,0.924596865730095
"`Grade Recode (thru 2017)`Unknown",0.527656500716083,0.277672137393612,1.90028609160777,0.0573955855668238
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Regional lymph nodes involved only",1.33523187562047,0.134983409795467,9.89182209609076,4.51729853465591e-23
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Regional by direct extension only",1.01984873753234,0.397195160037269,2.56762629594139,0.0102397480538116
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Regional by both direct extension and lymph node involvement",2.04740463692918,0.181482817327353,11.2815343462303,1.61897304235529e-29
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Distant site(s)/node(s) involved",3.10913394767688,0.150968127141738,20.5946381301918,3.06569039785114e-94
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Unknown/unstaged/unspecified/DCO",1.90833024396679,0.308622776681508,6.18337461831648,6.27455730265578e-10
"`Radiation recode (2003+)`Beam radiation",0.0909342262661246,0.0986388080573983,0.921890968240509,0.356585450677512
"`Radiation recode (2003+)`Combination of beam with implants or isotopes",-14.8651085087657,5625.28948662819,-0.00264254996015785,0.997891552639546
"`Radiation recode (2003+)`Radioactive implants (includes brachytherapy) (1988+)",-15.235076775455,3157.78941903649,-0.00482460188244711,0.996150539579823
"`Radiation recode (2003+)`Not available (IL or TX)",NA,0,NA,NA
"`Radiation recode (2003+)`Radiation, NOS  method or source not specified",0.610314822250373,0.348701391772307,1.75025060596515,0.0800750799875728
"`Radiation recode (2003+)`Radioisotopes (1988+)",-16.1019014344435,5625.28948833771,-0.00286241294209406,0.997716128025644
"`Radiation recode (2003+)`Recommended, unknown if administered",-0.222266214523636,0.264303756354604,-0.840949888829547,0.400376008114649
"`Radiation recode (2003+)`Refused (1988+)",-0.188842824638519,0.420157444087362,-0.449457286300641,0.653101814188576
"`Chemotherapy recode (yes, no/unk) (2004+)`Yes",-0.0423379430774473,0.138687392463252,-0.305276076833484,0.760155894762405
"`Breast Subtype (2010+)`HR+/HER2+",-0.360623109898702,6077.86070691822,-5.93338885651356e-05,0.999952658406409
"`Breast Subtype (2010+)`Recode not available",-0.72209235715032,0.663328482955964,-1.08858940284381,0.276334992007117
"`Breast Subtype (2010+)`HR-/HER2+",-0.828325592400503,6077.86071461205,-0.000136285714874823,0.99989125973258
"`Breast Subtype (2010+)`HR-/HER2-",-0.516560656718015,0.305835891863189,-1.68901254058529,0.0912170267387739
"`Breast Subtype (2010+)`Unknown",-16.3918081537099,3727.09972381996,-0.00439800632350928,0.996490909968568
"`Derived HER2 Recode (2010+)`Positive",-0.496485511872295,6077.86070472539,-8.16875436921892e-05,0.999934822770151
"`Derived HER2 Recode (2010+)`Recode not available",NA,0,NA,NA
"`Derived HER2 Recode (2010+)`Borderline/Unknown",15.8319786003704,3727.09971211944,0.00424780119214129,0.996610755203918
"`ER Status Recode Breast Cancer (2010+)`Positive",-0.829765154357617,0.270398275685826,-3.06867768388329,0.00215008426253592
"`ER Status Recode Breast Cancer (2010+)`Recode not available",NA,0,NA,NA
"`ER Status Recode Breast Cancer (2010+)`Borderline/Unknown",-0.340477573566708,0.70875114978816,-0.480390858862767,0.630949493029522
"`PR Status Recode Breast Cancer (2010+)`Positive",-0.113405919483034,0.151435252064801,-0.748873977074413,0.453933166361034
"`PR Status Recode Breast Cancer (2010+)`Recode not available",NA,0,NA,NA
"`PR Status Recode Breast Cancer (2010+)`Borderline/Unknown",-0.0978612557202775,0.596573263158635,-0.164038956761385,0.869700476116581
"`Median household income inflation adj to 2023`$75,000-$99,999",0.2615693033974,0.132020799832367,1.98127343365232,0.0475606179576449
"`Median household income inflation adj to 2023`$50,000-$74,999",0.268834210694401,0.181791349514089,1.47880639762546,0.139192065501129
"`Median household income inflation adj to 2023`<$50,000",1.86904780904394,0.630075749153978,2.96638588543293,0.00301322158658307
"`Total number of in situ/malignant tumors for patient`2",0.0915446573673054,0.125018857834138,0.732246790230294,0.464017950046446
"`Total number of in situ/malignant tumors for patient`3+",0.243577495043626,0.36042114767585,0.675813549272339,0.499159031080711
