"term","estimate","std.error","statistic","p.value"
"`Age recode with <1 year olds and 90+`30-39 years",0.189729148424344,0.202357970927351,0.937591672593215,0.348454292523013
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Non-Hispanic Black",0.416717720895309,0.162284567431954,2.56782100411389,0.0102339985809689
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Non-Hispanic Asian or Pacific Islander",0.386413818606721,0.205754852098834,1.87803016388215,0.0603770387769233
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Non-Hispanic American Indian/Alaska Native",0.493857143321476,1.00847754229008,0.489705643023059,0.624342208133717
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Non-Hispanic Unknown Race",-15.464792994177,5490.32822461784,-0.0028167337837536,0.997752574573893
"`Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)`Hispanic (All Races)",0.0445303084036129,0.186238849494308,0.239103218928411,0.811025545818155
"`Grade Recode (thru 2017)`Moderately differentiated; Grade II",0.624544623288506,0.59806110395147,1.04428229684568,0.296354800964438
"`Grade Recode (thru 2017)`Poorly differentiated; Grade III",1.12563434782029,0.594658853851233,1.89290774118684,0.0583701396142842
"`Grade Recode (thru 2017)`Undifferentiated; anaplastic; Grade IV",-13.9158890309134,6633.66005754884,-0.0020977693927921,0.99832622341698
"`Grade Recode (thru 2017)`Unknown",1.1246840900317,0.601475296365129,1.86987578181258,0.0615010696227115
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Regional lymph nodes involved only",0.709259078851206,0.180117434886118,3.93775915862697,8.22460827078438e-05
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Regional by direct extension only",0.903329401008772,0.603738605358332,1.49622600408769,0.134594770276745
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Regional by both direct extension and lymph node involvement",1.78189394901124,0.237248421452925,7.51066724953868,5.88267454217935e-14
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Distant site(s)/node(s) involved",2.72994607913681,0.191012534687084,14.2919734749816,2.45551066130158e-46
"`Combined Summary Stage with Expanded Regional Codes (2004+)`Unknown/unstaged/unspecified/DCO",1.72023425894349,0.460647295781851,3.73438479872928,0.000188174600383208
"`Radiation recode (2003+)`Beam radiation",-0.147111188968357,0.136473885354225,-1.07794387612342,0.281058803238248
"`Radiation recode (2003+)`Combination of beam with implants or isotopes",-14.7593076889053,4442.83412510295,-0.00332204788054365,0.997349394161216
"`Radiation recode (2003+)`Radioactive implants (includes brachytherapy) (1988+)",NA,0,NA,NA
"`Radiation recode (2003+)`Not available (IL or TX)",NA,0,NA,NA
"`Radiation recode (2003+)`Radiation, NOS  method or source not specified",-15.5984409844564,3264.97448114453,-0.0047775077797816,0.996188114804182
"`Radiation recode (2003+)`Radioisotopes (1988+)",NA,0,NA,NA
"`Radiation recode (2003+)`Recommended, unknown if administered",-15.6841708900866,1186.93030833195,-0.0132140621736488,0.989457010628141
"`Radiation recode (2003+)`Refused (1988+)",0.632925591567689,0.414563317436683,1.52672840298842,0.12682856156292
"`Chemotherapy recode (yes, no/unk) (2004+)`Yes",0.404868938875435,0.216170616854769,1.87291383429525,0.0610802845007658
"`Breast Subtype (2010+)`HR+/HER2+",-1.23698979705999,1.29225062444871,-0.95723675706306,0.338447768264741
"`Breast Subtype (2010+)`Recode not available",-2.09054410340852,1.11484953928827,-1.87518048825059,0.0607678975024731
"`Breast Subtype (2010+)`HR-/HER2+",-2.08894086743428,1.3795921526566,-1.51417276722814,0.129982026732549
"`Breast Subtype (2010+)`HR-/HER2-",-0.983608468165144,0.407184009605001,-2.41563628473357,0.0157077429986735
"`Breast Subtype (2010+)`Unknown",-0.21801239382741,0.834160826258036,-0.261355348950384,0.793818487002773
"`Derived HER2 Recode (2010+)`Positive",0.654995791079332,1.28105284766188,0.511294902684773,0.609144573748002
"`Derived HER2 Recode (2010+)`Recode not available",NA,0,NA,NA
"`Derived HER2 Recode (2010+)`Borderline/Unknown",-0.625952066356728,0.786137417049908,-0.796237467878963,0.425894023699993
"`ER Status Recode Breast Cancer (2010+)`Positive",-0.707205878568721,0.333113601458007,-2.12301711930509,0.0337524173340883
"`ER Status Recode Breast Cancer (2010+)`Recode not available",NA,0,NA,NA
"`ER Status Recode Breast Cancer (2010+)`Borderline/Unknown",-0.722064881863432,0.679036277988112,-1.0633671650104,0.287615477136082
"`PR Status Recode Breast Cancer (2010+)`Positive",-0.21638613145285,0.223603435668376,-0.967722749008968,0.333182853594022
"`PR Status Recode Breast Cancer (2010+)`Recode not available",NA,0,NA,NA
"`PR Status Recode Breast Cancer (2010+)`Borderline/Unknown",-0.0880537491339606,0.597591428953614,-0.147347744408154,0.88285754912558
"`Median household income inflation adj to 2023`$75,000-$99,999",-0.0479520178492727,0.172317024461164,-0.278277889252201,0.780799047865022
"`Median household income inflation adj to 2023`$50,000-$74,999",0.17079685225513,0.174157571511111,0.980702996563277,0.326739225743994
"`Median household income inflation adj to 2023`<$50,000",0.236008850443307,0.258580586168141,0.912709085939821,0.361395564020024
